Atlanta Hawks,0.554,0.384
Boston Celtics,0.661,0.589
Brooklyn Nets,0.500,0.429
Charlotte Hornets,0.500,0.348
Chicago Bulls,0.473,0.366
Cleveland Cavaliers,0.607,0.455
Dallas Mavericks,0.554,0.455
Denver Nuggets,0.652,0.411
Detroit Pistons,0.393,0.286
Golden State Warriors,0.750,0.554
Houston Rockets,0.607,0.500
Indiana Pacers,0.571,0.393
Los Angeles Clippers,0.607,0.500
Los Angeles Lakers,0.554,0.455
Memphis Grizzlies,0.554,0.411
Miami Heat,0.607,0.500
Milwaukee Bucks,0.661,0.554
Minnesota Timberwolves,0.500,0.348
New Orleans Pelicans,0.500,0.384
New York Knicks,0.446,0.348
Oklahoma City Thunder,0.554,0.455
Orlando Magic,0.393,0.286
Philadelphia 76ers,0.607,0.455
Phoenix Suns,0.500,0.384
Portland Trail Blazers,0.554,0.411
Sacramento Kings,0.446,0.348
San Antonio Spurs,0.607,0.500
Toronto Raptors,0.661,0.554
Utah Jazz,0.607,0.500
Washington Wizards,0.500,0.384
